Outlet;Data Repository;Micropublication;Preprint publication;Data journals;Publishing platform;Journal open to null results
Description;Platforms that allow upload of research datasets to make them citable and reusable.;Designed for unpublished observations, negative/neutral results that do not require a narrative story.;Platforms for unpublished research manuscripts that allow others to immediately view the manuscript.;Journal article that focuses on presenting a dataset with metadata and the methods used to aquire the dataset.;"Articles are published without editorial filtering; peer-review happens after (immediate) publication of the article.";Traditional journals that also publish null results.
Providers; <a href="https://zenodo.org/">Zenodo</a>, <a href="https://figshare.com/">FigShare</a> or <a href="https://datadryad.org/">Dryad</a>, use <a href="https://www.re3data.org/">re3data</a> to search for disciplinary repositories; <a href="https://www.sciencematters.io/">ScienceMatters</a> , <a href="https://bmcresnotes.biomedcentral.com/">BMC Research Notes</a>; <a href="https://www.biorxiv.org/">biorxiv</a>,  <a href="https://connect.medrxiv.org/">medRxiv</a>, <a href="https://osf.io/">osf.io</a> ; <a href="https://www.nature.com/scientificdata/">Scientific Data</a>, <a href="https://www.mdpi.com/journal/data">Data</a>, <a href="https://www.journals.elsevier.com/data-in-brief">Data in Brief</a>, <a href="https://f1000research.com/for-authors/article-guidelines/data-notes">F1000 Data Note</a>, many disciplinary journals (e.g. <a href="https://academic.oup.com/gigascience">GigaScience</a>);<a href="https://f1000research.com/">F1000Research</a>, <a href="https://openresearchcentral.org/">Open Research Central</a>; <a href="https://peerj.com/">PeerJ</a>, <a href="https://journals.plos.org/plosone/">PLoS One</a>, multiple BMC journals and many other disciplinary journals
Effort;low effort;low effort;medium effort;some effort to prepare manuscript/data;some effort to prepare manuscript/data;some effort to prepare manuscript/data
Costs in EUR;free of charge ;600 - 1300 €;free of charge;up to 1500€;up to 1000€;up to 1600€
Costs in US$;free of charge ;670 - 1440 $;free of charge;up to 1670$;up to 1100$;up to 1780$
Time to publication;immediate;typically 1-3 months;immediate;typically 1-4 months;immediate;typically 1-6 months
Recognition;citations of the dataset;citations of article, article can be listed in CV (future handling of such articles is open);citations of article, article can be listed in CV (not universally accepted at this point);citations of article, article can be listed in CV;citations of article, article can be listed in CV (not universally accepted at this point);citations of article, article can be listed in CV
Publishing venue can have Impact Factor;no;yes;no;yes;no;yes
Peer-review;no;peer-review;post-publication review possible;peer-review;peer-review;peer-review
DOI;yes;yes;yes;yes;yes;yes
Versioning;yes;no;yes;yes;yes;no
Indexing:;;;;;;
Pubmed;no;no;no;yes;yes;yes
Pubmed Central;no;some;no;some;yes;yes
Web of Science;no;some;no;most;no;yes
Scopus;no;some;no;some;no;yes
CrossRef;no;some;yes;some;yes;yes
Google Scholar;no;yes;yes;yes;yes;yes
Additional information;;integrated open data upload, reviewer compensation, often only one reviewer;;;;
